Stempelnummer;found;rating;stamptime
1;true;-1.0;1403301600000
9;true;-1.0;1419548400000
14;true;0.0;0
19;true;-1.0;1393110000000
20;true;-1.0;1380405600000
21;true;-1.0;1380405600000
40;true;0.0;0
41;true;0.0;0
43;true;-1.0;1414274400000
58;true;-1.0;1377295200000
67;true;-1.0;1382133600000
69;true;-1.0;1382133600000
71;true;-1.0;1382220000000
74;true;0.0;0
75;true;-1.0;1436652000000
76;true;0.0;0
77;true;0.0;0
78;true;0.0;0
79;true;0.0;0
80;true;0.0;0
81;true;0.0;0
82;true;0.0;0
83;true;0.0;0
84;true;0.0;0
90;true;-1.0;1422054000000
92;true;0.0;0
95;true;0.0;0
98;true;3.5;0
100;true;4.0;0
101;true;-1.0;1392418800000
102;true;-1.0;1397253600000
103;true;-1.0;1397253600000
104;true;-1.0;1394319600000
106;true;-1.0;1396735200000
107;true;-1.0;1395529200000
108;true;-1.0;1394319600000
111;true;-1.0;1415487600000
112;true;-1.0;1415487600000
113;true;-1.0;1403992800000
115;true;0.0;0
121;true;-1.0;1403301600000
123;true;-1.0;1436652000000
124;true;-1.0;1409436000000
125;true;-1.0;1409436000000
126;true;-1.0;1409436000000
127;true;0.0;0
128;true;0.0;0
129;true;-1.0;1380751200000
130;true;-1.0;1380751200000
132;true;-1.0;1388271600000
133;true;-1.0;1388271600000
134;true;-1.0;1408831200000
136;true;-1.0;1419548400000
137;true;-1.0;1407621600000
138;true;0.0;1377295200000
139;true;-1.0;1377295200000
140;true;-1.0;1412460000000
141;true;-1.0;1379800800000
142;true;-1.0;1379800800000
143;true;0.0;0
144;true;0.0;0
146;true;-1.0;1408831200000
147;true;-1.0;1402783200000
149;true;-1.0;1388271600000
150;true;-1.0;1377381600000
151;true;-1.0;1392418800000
152;true;-1.0;1377381600000
154;true;-1.0;1410040800000
155;true;-1.0;1410040800000
157;true;0.0;0
158;true;-1.0;1400364000000
159;true;-1.0;1400364000000
160;true;0.0;0
161;true;-1.0;1381615200000
162;true;-1.0;1381615200000
163;true;0.0;0
164;true;0.0;0
165;true;0.0;0
168;true;-1.0;1419548400000
169;true;-1.0;1403301600000
178;true;-1.0;1382133600000
181;true;-1.0;1401314400000
183;true;-1.0;1401400800000
185;true;-1.0;1401400800000
186;true;-1.0;1401400800000
187;true;-1.0;1401573600000
188;true;-1.0;1401487200000
199;true;-1.0;1401314400000
209;true;-1.0;1413064800000
211;true;-1.0;1413064800000
215;true;-1.0;1387062000000
220;true;-1.0;1421967600000
222;true;-1.0;1413064800000
